titulo;imagen;comensales;duracion;dificultad;ingredientes;pasos;Categoria
Revuelto de ajos tiernos;https://www.recetasonline.net/wp-content/uploads/2013/03/revuelto-1.jpg;4;15m;;['6 huevos', '12 ajos tiernos', 'Sal'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina de revuelto es limpiar bien los ajos tiernos eliminando cualquier resto de tierra que pueda haber.', 'Los picamos finos para evitar encontrar tropezones demasiado grandes en el revuelto y los salteamos durante unos 5 minutos en una sartén con un chorrito generoso de aceite de oliva.', 'Antes de que tomen mucho color pero estén blandos añadimos un nuevo chorrito de aceite y salteamos de nuevo.', 'Añadimos los huevos cascándolos directamente sobre los ajos tiernos y dejando que se vayan cuajando por los bordes.', 'Cuando tenemos casi la textura de unos huevos fritos, es decir, que la clara está la mitad más o menos cuajada, removemos todo el conjunto rompiendo las yemas y mezclando todo enérgicamente.', 'Ya tenemos nuestro revuelto de ajos tiernos listo para llevar a la mesa.'];8
Buñuelos de bacalao;https://www.recetasonline.net/wp-content/uploads/2013/03/buñuelos-de-bacalao-1.jpg;6;60m;;['250 gr. de bacalao', '500 gr. de patatas', '4 huevos', '2 cebollas', 'Perejil'];['Lo primero que tenemos que tener en cuenta en la elaboración de esta receta de cocina es que el bacalao debe estar desalado. Para ello lo dejaremos unas 12 horas en agua fría que iremos cambiando más o menos cada cuatro horas. Si usáis bacalao fresco podemos omitir este paso.', 'Empezamos poniendo agua en una olla y cociendo las patatas unos 30 minutos o hasta que al pincharlas las notemos tiernas.', 'Sacamos y escurrimos las patatas y las pelamos. Troceamos y pasamos por el pasapuré hasta obtener una especie de puré de patatas.', 'En un cazo a parte ponemos leche y agua en la misma cantidad. La cantidad de leche y agua debe ser suficiente para que cubra todo el bacalao. Cuando tengamos el líquido casi en ebullición añadimos el bacalao y dejamos unos 10 minutos a fuego suave.', 'Sacamos y escurrimos y retiramos la piel con cuidado y retiramos todas las espinas que podamos. Desmenuzamos el bacalao con ayuda de un tenedor y separando las fibras en la medida de lo posible.', 'Pelamos y picamos las cebollas muy fino. Juntamos con la patata triturada y el bacalao desmigado y mezclamos bien para que quede todo integrado.', 'Picamos un poco de perejil y se lo añadimos a la mezcla e incorporamos los huevos. Mezclamos bien hasta que nos quede una masa más o menos moldeable.', 'Ponemos una sartén con abundante aceite de oliva y cuando esté caliente vamos haciendo porciones de la masa con ayuda de dos cucharas humedecidas formando quenelles. Introducimos en el aceite caliente de poco en poco para evitar que nos baje la temperatura y movemos para que nos quede bien dorado por todas partes.', 'Retiramos a un plato con papel de cocina para que suelte el exceso de aceite y ya tenemos nuestros buñuelos de bacalao listos para llevar a la mesa.'];8
Patatas revolconas;https://www.recetasonline.net/wp-content/uploads/2013/02/Patatas-revolconas-1.jpg;4;50m;;['4 patatas arenosas', '6 dientes de ajo', '2 cucharaditas de pimentón', '1 hoja de laurel', '4 cucharadas de aceite de olive', 'Sal (al gusto de cada uno)', 'Agua', '250 gr. de panceta'];['Lo primero que vamos a hacer para la elaboración de nuestra receta de patatas revolconas es pelar las patatas y ponerlas en una olla con agua hasta que las cubra a cocer con un poco de sal. Las dejaremos por espacio de unos 40 minutos o hasta que al pincharlas estén tiernas.', 'Ponemos una cucharada de aceite de oliva en una sartén y añadimos la panceta cortada en dados más o menos regulares. Dejamos hasta que suelte grasa y estén bien crujientes. Retiramos y dejamos en un plato con papel de cocina para que suelte el exceso de grasa.', 'Mientras ponemos el resto de aceite de oliva en la sartén y pelamos y picamos los dientes de ajo. Añadimos cuando el aceite esté caliente y dejaremos hasta que esté ligeramente dorado. Incorporamos el pimentón a la sartén y removemos bien. Si queremos podemos poner un poco de pimentón picante para darle un poco más de gracia al resultado final, pero eso lo dejo al gusto de cada uno.', 'Antes de que se nos queme el pimentón apagamos el fuego y añadimos un poco de agua, como un cuarto de vaso está bien, e incorporamos las patatas escurridas y machacadas. Vamos removiendo y machacando todo hasta que nos quede una masa como un puré de patatas. Si vemos que queda muy espeso le podemos agregar un poco de agua.', 'Rectificamos de sal en caso de que fuera necesario y ya lo tenemos listo para poner en una fuente con los trozos de panceta por encima. En su punto para llevar a la mesa.'];8
Ensalada de pimientos asados, cebolla caramelizada y queso de rulo de cabra;https://www.recetasonline.net/wp-content/uploads/2012/12/Receta.Imagen-fija001.jpg;4;5m;;['Cebolla caramelizada', 'Pimientos asados', 'Queso de rulo de cabra'];['Lo primero que tenemos que tener en cuenta para esta receta es tener preparado con anterioridad los pimientos asados y la cebolla caramelizada. Ambas recetas os las dejé hace ya algún tiempo y las podéis localizar usando el buscador.', 'En un recipiente ponemos la cebolla y el pimiento y por último unos trozos de queso de rulo de cabra por encima. He usado queso de rulo de cabra President.', 'Es mejor que uséis un plato llano para que se reparta mejor el calor al calentarlo.', 'Lo llevamos al horno microondas y lo vamos a calentar a potencia máxima por espacio de 1 minuto o 1 minuto y medio.', 'Ya tenemos nuestra ensalada lista para llevar a la mesa y disfrutarla.'];8
Pechugas de pollo rellenas de jamón y queso o Cordon Bleu;https://www.recetasonline.net/wp-content/uploads/2014/07/Pechugas-rellenas-de-jamón-y-queso-o-Cordon-Bleu.jpg;1;20m;;['1 filete de pechuga de pollo', '1 loncha de queso de sándwich', '2 lonchas de jamón cocido', '1 huevo', 'Harina de trigo', 'Pan rallado', 'Sal'];['Lo primero que tenemos qe hacer es abrir los filetes de pechuga en el caso de que sean muy gordos.', 'Ponemos el queso y el jamón cocido en el interior y cerramos para que nos quede como un bocadillo.', 'Pasamos por harina, luego por huevo batido y acabamos pasando por el pan rallado. En caso de que queramos un doble rebozado pasamos de nuevo por huevo y pan rallado.', 'Freímos en abundante aceite de oliva bien caliente hasta que esté dorado por las dos caras como podéis ver en el vídeo.'];3
Pollo marinado picante;https://www.recetasonline.net/wp-content/uploads/2014/05/Pollo-marinado-picante.jpg;4;20m;;['1/2 kg. de alitas de pollo', '1 sobre de condimento para fajitas o burritos', '2 cucharadas de aceite de oliva', 'Aceite de sésamo tostado (opcional)'];['Lo primero que tenemos que hacer es limpiar las alitas, si no os las han cortado en la pollería, como os muestro en el vídeo.', 'Ponemos en un recipiente hondo y añadimos las alitas y el aceite de oliva. Removemos bien para que queden bien impregnadas.', 'Añadimos el condimento y dejamos marinar tapado con film transparente por espacio mínimo de media hora. Si lo podemos tener una hora mejor que mejor pero que sea refrigerado.', 'Calentamos aceite de girasol o de otro tipo de semilla y cuando lo tenemos bien caliente doramos las alitas por las dos caras. El fuego debe estar a media potencia para que no nos queden crudas por dentro.', 'Sacamos a papel absorbente y dejamos que suelten el exceso de grasa. Ya tenemos nuestro pollo marinado picante listo para llevar a la mesa. '];3
Hamburguesa casera estilo Whopper;https://www.recetasonline.net/wp-content/uploads/2014/04/Hamburguesa-whopper.jpg;1;15m;;['200 gr. de carne picada de ternera', '1 pan de hamburguesa', '1 cucharada de Bovril (concentrado de buey)', 'Tomate natural', 'Lechuga', 'Cebolla', 'Pepinillos', 'Mayonesa', 'Ketchup', 'Pimienta negra', 'Sal'];['Lo primero que tenemos que hacer para la elaboración de nuestra hamburguesa casera es preparar la carne y para ello vamos a mezclar el concentrado de buey o Bovril con la carne picada, la pimienta negra y un pellizco de sal.', 'Cuando lo tenemos todo perfectamente mezclado le damos forma de hamburguesa. Nos debe quedar como de un dedo de grosor y de un tamaño un poco más grande que el de los panecillos ya que al cocinarla reducirá un poquito. Lo podemos hacer con las manos o con la ayuda de un rodillo.', 'Lo pasamos por la parrilla que debemos tener bien caliente y dejamos cocinar unos 3 minutos por una cara antes de darle la vuelta para que se haga por la otra.', 'Extendemos la mayonesa en una cara del panecillo y procedemos a poner el resto de ingredientes como podéis ver en el vídeo.', 'La lechuga, la cebolla, el tomate en la cara de la mayonesa y la carne, el ketchup y los pepinillos en la otra.', 'Juntamos y la tenemos lista para llevar a la mesa. Os recomiendo acompañar con unas patatas fritas que van de maravilla.'];3
Cerdo agridulce molecular;https://www.recetasonline.net/wp-content/uploads/2014/01/01447.MTS_.Imagen-fija001.jpg;2;1:20 h;;['2 filetes de lomo de cerdo', '6 esferas de salsa agridulce', '1 naranja de zumo', '1 gr. de agar-agar', '2 huevos', 'Cebollino fresco', 'Harina de trigo', 'Pan rallado'];['Lo primero que vamos a hacer para la elaboración de esta receta de cocina es cocinar el zumo de naranja con el agar-agar hasta llegar a superar los 80ºC y dejar enfriar en una bandeja metálica que hemos metido unas horas en el congelador para que se forme rápido la gelatina.', 'Mientras cortamos la carne en tres porciones regulares y pasamos por harina, huevo y pan rallado. Repetimos el paso del huevo y el pan rallado para que nos quede un rebozado más crujiente.', 'Freímos en aceite de girasol que es más neutro para no restar sabor al resto de ingredientes y hasta que los tengamos dorados.', 'Montamos el plato poniendo un cordón de gelatina de naranja, las porciones empanadas encima, una esfera de salsa agridulce y adornamos con unos tallos de cebollino.'];3
Milhojas de jamón y pera;https://www.recetasonline.net/wp-content/uploads/2013/11/Milhojas-de-jamón-y-pera.jpg;2;30m;;['1 pera conferencia', '50 gr. de jamón cocido', '1/2 pimiento verde', '1/2 cebolla', '50 ml. de vinagre de sidra', '50 ml. de zumo de limón'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina es cortar en lonchas la pera y el jamón cocido. Usaremos una mandolina para que nos quede del mismo tamaño todas las lonchas.', 'Con ayuda de un cortapasta o un aro de cocina cortamos las láminas de pera y las de jamón y las marcamos en un sartén con un chorrito de aceite de oliva hasta que estén ligeramente doradas.', 'En otra sartén salteamos el pimiento y la cebolla y añadimos los recortes picados de jamón cocido y de la pera.', 'Añadimos el vinagre y el zumo y dejamos unos segundos reducir mientras emplatamos los discos de pera y jamón.', 'Terminamos poniendo la guarnición por encima y al lado.'];8
Alitas de pollo al ajillo;https://www.recetasonline.net/wp-content/uploads/2013/11/Entrada.Imagen-fija001.jpg;4;50m;;['1 kg. de alitas de pollo', '8 dientes de ajo', '750 ml. de caldo de ave', '1 vaso de vino blanco', '1 hoja de laurel', '16 granos de pimienta negra', '1 guindilla o cayena', '1 vaso de vinagre de vino', 'Sal'];['Lo primero que tenemos que hacer es limpiar las alitas de pollo y las ponemos a dorar en una sartén lo suficientemente grande como podéis observar ne el vídeo de la parte superior.', 'Una vez doradas añadimos el resto de ingredientes y dejamos reducir hasta que se haya consumido la mitad del caldo.', 'Acompañamos de unas patatas fritas cortadas en cuadrados a modo de guarnición.'];3
Salchichas de pollo al cava;https://www.recetasonline.net/wp-content/uploads/2013/10/Salchichas-al-cava.jpg;2;30m;;['4 salchichas de pollo', '1/2 cebolla', '2 patatas medianas', '1 vaso de cava', 'Pimienta negra', 'Sal'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina de salchichas de pollo al cava es pelar y picar la cebolla. No hace falta que sea muy fino ya que luego la pocharemos bastante.', 'Pelamos y cortamos las patatas en cubos pequeños y freímos hasta que las rengamos doradas.', 'En una sartén ponemos un chorrito de aceite y cocinamos a fuego suave la cebolla hasta que se transparente. Salamos un poco previamente para que sude y tarde menos en pochar.', 'Doramos las salchichas de pollo en la misma sartén de la cebolla y añadimos el cava y un poco de pimienta negra al gusto de cada uno. Dejamos unos 10 minutos que se cuezan un poco las salchichas en el líquido.', 'Añadimos la patatas y dejamos cocinar un par de minutos más antes de servir. Servimos las salchichas acompañadas del resto de guarnición.'];3
Pollo a la mostaza antigua;https://www.recetasonline.net/wp-content/uploads/2013/09/Pollo-a-la-mostaza-antigua.jpg;2;15m;;['2 contramuslos de pollo fileteados', '250 ml. de caldo de ave', '1 cucharada de mostaza antigua', '1 cucharadita de harina de maíz', 'Sal'];['Lo primero que tenemos que hacer es dorar la carne y para ello ponemos un chorrito de aceite en una sartén y cocinamos a fuego suave por los dos lados hasta que cojan color.', 'En un cazo ponemos el caldo a calentar reservando un vasito en el que disolvemos la harina de maíz cuando todavía está frío.', 'Añadimos la mostaza y seguidamente el vasito con el caldo y la harina de maíz. Dejamos cocinar hasta que rompa a hervir y dejamos reposar para que se enfríe un poco y espese.', 'Ya solamente nos queda poner la salsa por encima del pollo y llevar a la mesa.'];3
Costillas a la barbacoa en el microondas;https://www.recetasonline.net/wp-content/uploads/2013/09/Costillas-barbacoa-microondas.jpg;1;30m;;['1 costillar de cerdo', 'Salsa barbacoa'];['Lo primero que vamos a hacer es poner el costillar en una fuente apta para microondas. Yo he usado una fuente de barro que mantiene bastante bien la temperatura.', 'Lo ponemos a máxima potencia durante 10 minutos en el microondas. Es mejor que pongáis tapa en el microondas si no queréis que se os ponga perdido de salpicaduras.', 'Pasado el tiempo de cocción lo embadurnamos bien de salsa barbacoa por los dos lados y envolvemos en papel de aluminio. Lo dejamos reposar 10 minutos.', 'Volvemos a meter en el microondas sin papel de aluminio 2 minutos más a máxima potencia antes de tenerlo listo para llevar a la mesa.'];8
Picantones al horno;https://www.recetasonline.net/wp-content/uploads/2013/09/Picantones-al-horno.jpg;4;1:15 h;;['2 picantones', '1 patata', '1 cebolla', '1 limón', '3 dientes de ajo', '2 ramas de romero', '1 vaso de vino blanco', 'Perejil', 'Aceite de oliva', 'Sal al gusto'];['Lo primero que tenemos que hacer para la elaboración de esta receta de picantones al horno es aplastar los dientes de ajo e introducir en el interior de los picantones junto con el romero.', 'Los ponemos en una fuente apta para horno y los bridamos para que conserven la forma y reservamos.', 'Pelamos y cortamos la cebolla a pluma y los añadimos a la bandeja y hacemos lo mismo con la patata aunque la cortamos en panadera.', 'Cortamos el limón en rodajas y añadimos a la bandeja y rociamos con aceite de oliva todo el conjunto. Con el horno precalentado a 200ºC cocinamos por espacio de 30 minutos.', 'Mientras pelamos y picamos un diente de ajo y picamos el perejil y mezclamos con el ajo. Sacamos a los 30 minutos la bandeja del horno y añadimos el vaso de vino blanco y el ajo y el perejil por encima.', 'Salamos ligeramente y horneamos otros 30 minutos. Pasado este tiempo rectificamos de sal en caso de ser necesario y ya lo tenemos listo para llevar a la mesa.'];3
Costillas a la barbacoa rápidas;https://www.recetasonline.net/wp-content/uploads/2013/07/Costillas-a-la-barbacoa.jpg;4;25m;;['2 costillares de cerdo', '200 ml. de salsa barbacoa'];['Lo primero que vamos a hacer es untar los costillares con un poco de salsa barbacoa y dejarlos macerar durante al menos 12 horas. También es conveniente cortarlos a la mitad para que luego sean más manejables.', 'Al día siguiente sacamos los costillares y cocinamos a potencia máxima en el microondas por espacio de 6 minutos y de dos en dos. Casi toda la grasa de las costillas se quedará debajo en forma de líquido.', 'Con las brasas de la barbacoa bien formadas pasamos por la parrilla 7 minuto por cada lado o hasta que estén bien doradas. Antes de llevar a la mesa ponemos un poco de salsa barbacoa por encima y extendemos con ayuda de una brocha de cocina.', 'Ya tenemos nuestras costillas a la barbacoa listas para llevar a la mesa.'];8
Costillas adobadas al horno;https://www.recetasonline.net/wp-content/uploads/2013/02/costillas-adobadas-al-horno-1.jpg;4;1:20 h;;['1 cucharadita de pimentón', '70 ml. de salsa de soja', '4 dientes de ajo', '1/2 cucharadita de orégano picado', '1/2 cucharadita de perejil picado', '7 cucharadas de aceite de oliva', '3 cucharadas de vinagre de Jerez', '500 gr. de costillas de cerdo', '250 ml. de vino blanco'];['Para esta elaboración de costillas adobadas al horno lo primero que tenemos que hacer es preparar el adobo. Con las cantidades que os he puesto nos rinde para medio kilo de costillas aproximadamente así que es fácil calcular las cantidades si tenemos más o menos cantidad.', 'Mezclamos todos los ingredientes del adobo teniendo especial atención con los dientes de ajo que deben estar bien triturados. Lo conseguiremos fácilmente con la ayuda de un mortero y una picadora. Con el cuchillo también nos quedaría perfecto.', 'Las costillas las vamos a cortar individualmente en el caso de que hayamos comprado un costillar completo.', 'En un recipiente lo suficientemente grande mezclamos las costillas con el adobo y lo vamos a dejar macerar por espacio de dos horas mínimo. Si lo podéis dejar cuatro horas mejor que mejor.', 'Pasado el tiempo de maceración ponemos el horno a precalentar a 200ºC y ponemos las costillas en una fuente apta para horno y tapado con papel de aluminio para que no se nos queden muy secas.', 'Dejaremos horneando por espacio de 30 minutos antes de sacar y darle la vuelta a todas las costillas para volver a poner 30 minutos más para finalizar.', 'Ya tenemos nuestras deliciosas costillas adobadas al horno listas para llevar a la mesa. Las podéis acompañar de una patatas panaderas que se pueden ir haciendo a la vez que nuestras costillas en el horno.'];6
Pollo con quinoa;https://www.recetasonline.net/wp-content/uploads/2013/02/Pollo-con-quinoa-2.jpg;4;60m;;['250 gr. de quinoa', '1/2 l. de caldo de ave', '1/2 cebolla', '2 dientes de ajo', '1 tomate maduro', '2 pechugas de pollo'];['Colocar el caldo y la quinoa en una olla a fuego suave y dejar hasta que hierva. Tapar y bajar el fuego.', ' Dejar que se cocine más o menos por espacio de 10 minutos, dejando que la quinoa absorba el caldo bien. ', 'En una sartén, calentar un chorrito generoso de aceite de oliva y rehogar el ajo y la cebolla hasta que estén bien pochados aproximadamente unos 5 minutos. ', 'Incorporar el pollo cortado en tiras y cocinar otros 5 minutos, hasta que el pollo se haya dorado por todas partes.', ' Retirar el pollo y reservar. Añadir a la sartén otro chorrito de aceite y saltear el tomate por espacio de 5 minutos. ', 'Calentar hasta que todo el conjunto coja temperatura y servir acompañado de la quinoa bien caliente.'];3
Costillas al horno;https://www.recetasonline.net/wp-content/uploads/2013/01/costillas-al-horno-1.jpg;4;1:20 h;;['2 costillares de cerdo', 'Perejil picado', '4 dientes de ajo', '1 cucharada de mostaza en grano', 'Zumo de limón', 'Vinagre', 'Vino blanco'];['Lo primero que tenemos que hacer para la elaboración de esta receta de cocina de costillas al horno es pelar y picar muy fino los dientes de ajo.', 'Mezclamos el ajo picado con aceite de oliva, zumo de limón y embadurnamos las costillas con el resultante. Lo podemos hacer ayudándonos de una brocha de silicona o, si no tenéis brocha en casa, con las manos pero que estén bien limpias.', 'En una fuente o bandeja para horno colocamos un vaso de agua y otro de vino blanco y ponemos los costillares encima.', 'Introducimos la bandeja en el horno, que hemos precalentado a 220ºC, y dejamos cocinar por espacio de 30 minutos.', 'Pasados los 30 minutos damos la vuelta a las costillas y volvemos a pintar pero con el jugo que hay en la bandeja y dejamos cocinar a la misma temperatura 30 minutos más. Se trata de que estén bien doradas por todas las caras.', 'Debemos vigilar que siempre haya caldo en el fondo de la bandeja y en caso de que se nos consuma añadiremos más agua y vino en idéntica proporción.', 'También podemos rociar regularmente con el caldo las costillas para que cojan un tono dorado más rápidamente.', 'Pasado el tiempo de horneado retiramos el costillar del horno y el líquido lo pasamos a un cazo y calentamos a fuego vivo. Cuando comience a hervir añadimos la mostaza, un chorrito de vinagre y perejil picado a gusto de cada uno.', 'Dejamos cocinar un par de minutos sin dejar de remover y finalmente lo rociamos de nuevo por encima de la carne antes de servir.', 'Ya tenemos nuestras costillas al horno listas para llevar a la mesa.'];3
